lat_sat_0,lon_sat_0,lat_sat_1,lon_sat_1,lat_sat_2,lon_sat_2,lat_sat_3,lon_sat_3
-55.62950732068793,20.617986272734466,-40.29503166747324,38.45837585615758,-49.807724732317105,30.170638243507995,-53.980771742662604,23.932432528143657
-55.87533649996403,20.61601588173495,-40.54239435034766,38.4546753315731,-50.05300086203912,30.167071586549092,-54.22629633725923,23.929934866852612
-56.12116581484362,20.6140453406366,-40.7897573515132,38.45097466810065,-50.29827738059046,30.163504686049514,-54.471821137233135,23.927437017001424
-56.36699526531719,20.61207464945824,-41.03712067090341,38.44727386577054,-50.54355428791191,30.15993754205925,-54.717346142565184,23.924938978618343
-56.612824851380466,20.610103808218746,-41.28448430845665,38.44357292461312,-50.78883158394902,30.156370154628306,-54.962871353241624,23.92244075173184
-56.858654573020225,20.608132816936948,-41.53184826410268,38.43987184465865,-51.03410926863867,30.152802523806663,-55.20839676923956,23.919942336370173
-57.10448443023208,20.606161675631668,-41.779212537780076,38.4361706259375,-51.279387341926586,30.14923464964427,-55.45392239054519,23.917443732561733
-57.35031442300662,20.604190384321793,-42.02657712942233,38.43246926848,-51.52466580375333,30.14566653219113,-55.699448217139505,23.91494494033487
-57.59614455133567,20.602218943026113,-42.273942038964236,38.42876777231649,-51.76994465406087,30.14209817149724,-55.944974249004765,23.91244595971794
-57.84197481521101,20.600247351763493,-42.52130726634063,38.425066137477266,-52.0152238927911,30.138529567612505,-56.1905004861234,23.909946790739312
-58.087805214623216,20.598275610552772,-42.768672811484954,38.42136436399264,-52.260503519884594,30.134960720586935,-56.436026928476174,23.907447433427286
-58.33363591766254,20.59630371941278,-43.01603884243056,38.41766245189295,-52.50578370338171,30.131391630470453,-56.68155374414397,23.904947887810238
-58.57946658812911,20.59433167836238,-43.26340502292056,38.41396040120856,-52.75106410703254,30.127822297313017,-56.9270805969173,23.90244815391655
-58.82529739410793,20.592359487420406,-43.510771520982985,38.410258211969726,-52.996344898872245,30.124252721164577,-57.172607654871584,23.899948231774506
-59.0711283355921,20.590387146605664,-43.75813833655416,38.40655588420682,-53.24162607884413,30.1206829020751,-57.4181349179905,23.89744812141249
-59.31695941257214,20.588414655937015,-44.00550546956755,38.40285341795016,-53.486907646888525,30.117112840094407,-57.66366238625506,23.894947822858878
-59.562790625041195,20.586442015433327,-44.252872919959444,38.399150813230094,-53.7321896029489,30.113542535272572,-57.909190059648665,23.89244733614196
-59.8086219729936,20.584469225113434,-44.50024068766723,38.395448070076874,-53.9774719469695,30.109971987659474,-58.15471793815615,23.88994666129009
-60.054453456417285,20.582496284996157,-44.74760877262206,38.39174518852088,-54.222754678888414,30.10640119730496,-58.40024602175601,23.88744579833164
-60.300285075306576,20.580523195100355,-44.994977174761466,38.3880421685925,-54.46803779864997,30.102830164258997,-58.64577431043295,23.884944747294952
-60.5461168296482,20.578549955444863,-45.24234589401515,38.384339010321874,-54.713321306191006,30.099258888571484,-58.891302804164106,23.882443508208336
-60.79194871944039,20.576576566048555,-45.489714930324695,38.38063571373956,-54.95860520145977,30.095687370292293,-59.13683150293812,23.87994208110016
-61.03778091276936,20.574603026930216,-45.73708445171952,38.37693227887569,-55.20388965249275,30.092115609471396,-59.38236057483179,23.87744046599875
-61.28361307343259,20.572629338108708,-45.98445412194033,38.37322870576068,-55.44917432303741,30.088543606158602,-59.62788968363305,23.874938662932475
-61.52944536951906,20.570655499602896,-46.23182410901925,38.36952499442485,-55.6944593811327,30.084971360403827,-59.87341899742114,23.872436671929634
-61.77527780102053,20.568681511431613,-46.479194412891445,38.365821144898575,-55.93974482672059,30.081398872256962,-60.11894851617839,23.869934493018604
-62.021110367927605,20.566707373613735,-46.7265650334906,38.36211715721204,-56.18503065974164,30.07782614176786,-60.364478239885734,23.867432126227694
-62.26694307023309,20.564733086168054,-46.97393597075304,38.35841303139569,-56.430316880138875,30.074253168986374,-60.61000816852651,23.864929571585243
-62.51277590793131,20.562758649113395,-47.22130722461631,38.35470876747979,-56.67560348785677,30.07067995396241,-60.855538302085606,23.862426829119638
-62.75860888101044,20.560784062468688,-47.468678795011876,38.35100436549473,-56.92089048283335,30.067106496745804,-61.10106864054138,23.85992389885915
-63.00444198946331,20.558809326252756,-47.71605068187591,38.34729982547076,-57.1661778650116,30.063532797386383,-61.34659918387714,23.857420780832133
-63.250275233280405,20.556834440484387,-47.96342288514241,38.34359514743835,-57.4114656343322,30.059958855934056,-61.592129932073945,23.854917475066955
-63.49610861245602,20.55485940518246,-48.210795404748865,38.33989033142758,-57.656753790739494,30.056384672438586,-61.837660885116435,23.852413981591887
